nodo,controlability,kshell
779150,0.5441813542,4
779154,0.0154293514,8
779283,0.7009673016,3
779451,0.1841433743,5
779476,0.4947480862,3
779578,0.0543587918,9
779583,0.0439736514,9
779715,0.4591418907,6
779900,0.2006409115,5
780006,0.1903151148,6
780050,0.4319031511,5
780198,0.1046822147,2
780240,0.1549462940,3
780290,0.1306747374,5
780308,0.4149308646,5
780419,0.1874666192,8
780613,0.0945937927,3
780641,0.1907898641,5
781168,0.0818942496,7
781280,0.0606492196,7
781310,0.1391608807,7
781314,0.2602219453,5
781441,0.3787905762,2
781530,0.6330781556,4
781575,0.1390421933,5
781730,0.0801139398,3
782053,0.2651474690,5
782263,0.4526140882,5
782310,0.0904990802,6
782329,0.3191501988,2
782352,0.0795798469,3
782482,0.0601151267,7
782721,0.3327398967,3
783328,0.3545783633,2
783393,0.5827547327,4
783573,0.6566375883,2
783705,0.0626075604,9
783771,0.3457361581,2
783775,0.6481514450,2
783870,0.1177378197,7
783930,0.1299626135,7
783937,0.1796925998,4
784132,0.0892528633,7
784165,0.1883567741,4
784351,0.6076197258,4
784457,0.8457064863,2
784907,0.1847368109,3
784912,0.4513678713,3
784952,0.5095246573,4
784981,0.5319565604,4
784998,0.2867485609,5
785016,0.1237908729,3
785164,0.0755444781,3
785230,0.1002907839,9
785264,0.5824580144,9
785270,0.3346388938,7
785477,0.8327102249,2
785485,0.1461634324,3
785510,0.1469349000,5
785637,0.3675746247,6
785675,0.3885229363,7
785730,0.5111269361,2
785997,0.0486024568,7
786040,0.0976203193,3
786152,0.2393329773,5
786342,0.1859830277,5
786382,0.2864518426,2
786491,0.0907364548,6
786750,0.2066939647,5
786795,0.4940953059,2
786836,0.0873538662,4
786916,0.5720135304,3
786937,0.1169070085,7
787166,0.3116728978,6
787438,0.3380808261,2
787596,0.5308290309,3
787910,0.1805234111,9
788034,0.6902854430,2
788247,0.2234882203,4
788299,0.1757759183,6
788350,0.6095780666,2
788570,0.1331671711,3
788642,0.2107293336,4
788670,0.1804047238,2
788863,0.1936977034,6
789068,0.5014539196,2
789072,0.7022728621,6
789109,0.5248353213,5
789158,0.1206456590,6
789286,0.6127232805,2
789580,0.2035487508,9
790000,0.4010444484,5
790079,0.0848020889,9
790800,0.0426680909,9
791003,0.2618242241,3
791045,0.1569639784,6
791125,0.1745890452,6
791250,0.1843807489,6
791288,0.4400925761,4
791300,0.4169485490,3
791838,0.1579134769,8
791951,0.5244792594,2
792121,0.5086345024,5
792177,0.1844994362,2
792230,0.4446620379,2
792333,0.0656934307,8
